Rank,Lemma,WeightedScore,RawCount
818,Κίρων,0.546520,26
819,πένατος,0.545871,16
820,προσχέθομαι,0.545504,22
821,Μεσσήνη,0.545479,35
822,προίστημι,0.545415,82
823,φυλακή,0.545402,201
824,παρί,0.544734,34
825,βαίνω,0.544117,487
826,περιαίρω,0.544033,3
827,δεσμωτήριον,0.544007,45
828,διαγράφω,0.543418,10
829,Παυσανίας,0.538416,74
830,βέλτω,0.538198,26
831,προσδοκάω,0.538046,36
832,τρίσχιλιος,0.536231,23
833,Λεωχάρης,0.535415,24
834,πόρος,0.532552,55
835,κατέω,0.531561,3
836,παρανομία,0.531075,32
837,διαδικασίς,0.530753,4
838,διάγω,0.529349,72
839,μεταλαμβάνω,0.528767,59
840,τέλειος,0.528584,61
841,Φιλόνης,0.528025,8
842,κατοικέω,0.527469,137
843,στήλη,0.525736,79
844,σιωπή,0.524213,50
845,γενάω,0.523741,2
846,παραλύθω,0.523138,2
847,δυναστεία,0.521142,69
848,πρόξ,0.519420,5
849,διατριβή,0.518901,55
850,συγγενεία,0.518399,23
851,κόσμιος,0.518094,19
852,λαμπρός,0.517518,101
853,χιτωνίσκος,0.516595,5
854,πέρω,0.516403,8
855,Μακάρτατος,0.515474,41
856,Ναυσίμαχος,0.515448,7
857,βοηθός,0.514326,34
858,κεφαλή,0.513160,416
859,προοράομαι,0.513060,3
860,διόμνυμι,0.512332,25
861,θνητός,0.511766,104
862,συνεγείρω,0.511581,6
863,μικρολογέομαι,0.511457,1
864,Χερσόνησος,0.511018,94
865,φυγάς,0.510663,66
866,φυτεύω,0.509362,31
867,πρόσθεν,0.509302,185
868,ζηλόω,0.507120,68
869,φιλέω,0.506851,191
870,Νικόμαχος,0.505678,14
871,σύμβουλος,0.504921,82
